단축코드,한글종목명
354200,엔젠바이오
354320,알멕
355150,코스텍시스
355390,크라우드웍스
355690,에이텀
356680,엑스게이트
356860,티엘비
356890,싸이버원
357230,에이치피오
357550,석경에이티
357580,아모센스
357780,솔브레인
357880,비트나인
358570,지아이이노베이션
359090,씨엔알리서치
360070,탑머티리얼
360350,코셈
361390,제노코
361570,알비더블유
361670,삼영에스앤씨
362320,청담글로벌
362990,드림인사이트
363250,진시스템
363260,모비데이즈
365270,큐라클
365330,에스와이스틸텍
365340,성일하이텍
365590,하이딥
365900,브이씨
366030,공구우먼
367000,플래티어
368600,아이씨에이치
368770,파이버프로
368970,오에스피
369370,블리츠웨이스튜디오
370090,퓨런티어
371950,풍원정밀
372170,윤성에프앤씨
372320,큐로셀
372800,아이티아이즈
373110,엑셀세라퓨틱스
373170,엠아이큐브솔루션
373200,엑스플러스
376180,피코그램
376190,LB루셈
376270,에이치이엠파마
376290,씨유테크
376300,디어유
376930,노을
376980,원티드랩
377030,맥스트
377220,프롬바이오
377330,이지트로닉스
377450,리파인
377460,위니아에이드
377480,마음AI
378340,필에너지
378800,샤페론
380540,옵티코어
381620,제닉스
382480,지아이텍
382800,지앤비에스 에코
382840,원준
382900,범한퓨얼셀
383310,에코프로에이치엔
383930,디티앤씨알오
384470,코어라인소프트
388050,지투파워
388720,유일로보틱스
388790,라이콤
388870,파로스아이바이오
389020,자람테크놀로지
389030,지니너스
389140,포바이포
389260,대명에너지
389470,인벤티지랩
389500,에스비비테크
389650,넥스트바이오메디컬
391710,코닉오토메이션
393210,토마토시스템
393890,더블유씨피
394280,오픈엣지테크놀로지
394800,쓰리빌리언
396270,넥스트칩
396300,세아메카닉스
396470,워트
397030,에이프릴바이오
399720,가온칩스
402030,코난테크놀로지
402490,그린리소스
403490,우듬지팜
403870,HPSP
405000,플라즈맵
405100,큐알티
405920,나라셀라
406760,하나금융21호스팩
406820,뷰티스킨
407400,꿈비
408900,스튜디오미르
408920,메쎄이상
411080,샌즈랩
412350,레이저쎌
412540,제일엠앤에스
412930,미래에셋비전스팩1호
413600,키움제6호스팩
413630,씨피시스템
413640,비아이매트릭스
415380,스튜디오삼익
415580,상상인제3호스팩
416180,신성에스티
417010,나노팀
417180,핑거스토리
417200,LS머트리얼즈
417500,제이아이테크
417790,트루엔
417840,저스템
417860,오브젠
417970,모델솔루션
418170,하나금융22호스팩
418210,신한제10호스팩
418250,시큐레터
418420,라온텍
418470,밀리의서재
418550,제이오
418620,이에이트
419050,삼기이브이
419080,엔젯
419120,산돌
419530,SAMG엔터
419540,비스토스
420570,제이투케이바이오
420770,기가비스
421800,교보12호스팩
422040,엔에이치스팩23호
424140,케이비제21호스팩
424760,벨로크
424960,스마트레이더시스템
424980,마이크로투나노
425040,티이엠씨
425290,삼성스팩6호
425420,티에프이
429270,시지트로닉스
430220,신영스팩8호
430460,한화플러스제3호스팩
430690,한싹
430700,유안타제9호스팩
431190,케이쓰리아이
432430,와이랩
432470,케이엔에스
432720,퀄리타스반도체
433530,키움제7호스팩
434480,모니터랩
435380,유안타제10호스팩
435620,하나금융25호스팩
435870,에스케이증권제8호스팩
437730,삼현
437780,엔에이치스팩24호
438220,대신밸런스제13호스팩
438580,엔에이치스팩25호
438700,버넥트
439090,마녀공장
439250,삼성스팩7호
439410,엔에이치스팩26호
439580,블루엠텍
439730,IBKS제20호스팩
440110,파두
440290,HB인베스트먼트
440320,오픈놀
440790,교보13호스팩
440820,엔에이치스팩27호
441270,파인엠텍
442130,유진스팩9호
442310,대신밸런스제14호스팩
442770,IBKS제21호스팩
442900,미래에셋드림스팩1호
443250,레뷰코퍼레이션
443670,에스피소프트
444920,유안타제11호스팩
445090,에이직랜드
445180,퓨릿
445360,비엔케이제1호스팩
445680,큐리옥스바이오시스템즈
445970,신영스팩9호
446150,유안타제12호스팩
446190,미래에셋비전스팩2호
446540,메가터치
446750,하나26호스팩
446840,키움제8호스팩
448280,에코아이
448370,하나27호스팩
448710,코츠테크놀로지
448740,삼성스팩8호
448760,IBKS제22호스팩
448830,미래에셋비전스팩3호
449020,유안타제13호스팩
450050,하이제8호스팩
450330,하스
450520,인스웨이브시스템즈
450940,유안타제14호스팩
451220,아이엠티
451250,삐아
451700,엔에이치스팩29호
451760,컨텍
452160,제이엔비
452190,한빛레이저
452200,민테크
452280,한선엔지니어링
452300,캡스톤파트너스
452400,이닉스
452430,사피엔반도체
452670,상상인제4호스팩
452980,신한제11호스팩
453450,그리드위즈
453860,에이에스텍
454640,하나29호스팩
454750,하나28호스팩
455250,KB제25호스팩
455310,한화플러스제4호스팩
455900,엔젤로보틱스
455910,에스케이증권제9호스팩
456010,아이씨티케이
456070,이엔셀
456440,DB금융스팩11호
456490,교보14호스팩
457370,한켐
457390,대신밸런스제15호스팩
457550,우진엔텍
457630,대신밸런스제16호스팩
457940,에스케이증권제10호스팩
458320,KB제26호스팩
458610,한국제12호스팩
458650,성우
458870,씨어스테크놀로지
460470,아이빔테크놀로지
460930,현대힘스
460940,피앤에스미캐닉스
461030,아이엠비디엑스
461300,아이스크림미디어
462020,에이치엠씨제6호스팩
462350,이노스페이스
462510,라메디텍
464080,에스오에스랩
464280,티디에스팜
464440,한국제13호스팩
464500,아이언디바이스
464580,닷밀
464680,KB제27호스팩
465320,교보15호스팩
465480,인스피언
466100,클로봇
466910,엔에이치스팩30호
467930,IBKS제23호스팩
468510,삼성스팩9호
468760,유진스팩10호
469480,IBKS제24호스팩
469750,아이비젼웍스
469880,하나30호스팩
469900,하나31호스팩
471050,대신밸런스제17호스팩
472220,신영스팩10호
472230,에스케이증권제11호스팩
472850,폰드그룹
473000,에스케이증권제12호스팩
473050,유안타제15호스팩
473370,비엔케이제2호스팩
473950,에스케이증권제13호스팩
473980,노머스
474170,루미르
474490,유안타제16호스팩
474660,신한제12호스팩
474930,신한제13호스팩
475240,하나32호스팩
475250,하나33호스팩
475400,씨메스
475580,에이럭스
475960,토모큐브
476080,M83
476470,KB제28호스팩
477340,에이치엠씨제7호스팩
477380,미래에셋비전스팩4호
477470,미래에셋비전스팩5호
477530,한국제14호스팩
477760,DB금융스팩12호
478110,이베스트스팩6호
478390,KB제29호스팩
478440,미래에셋비전스팩6호
478780,대신밸런스제18호스팩
479880,한국제15호스팩
481890,엔에이치스팩31호
482520,교보16호스팩
482680,미래에셋비전스팩7호
486630,KB제30호스팩
487830,신한제15호스팩
488060,유진스팩11호
950190,고스트스튜디오
950110,SBI핀테크솔루션즈
950170,JTC
950130,엑세스바이오
950140,잉글우드랩
950160,코오롱티슈진
950220,네오이뮨텍
950200,소마젠
900280,골든센츄리
900120,씨엑스아이
900250,크리스탈신소재
900070,글로벌에스엠
900100,애머릿지
F70100001,한투글로벌신성장2호(A)
F70100002,한투글로벌신성장1호(A)
F70100003,한투글로벌신성장1호(A-e)
F70100004,한투글로벌신성장2호(A-e)
F70100005,한투글로벌AI빅테크1호(A)
F70100006,한투글로벌AI빅테크1호(A-e)
F70100007,한투글로벌AI빅테크2호(A)
F70100008,한투글로벌AI빅테크2호(A-e)
F70100009,한투삼성그룹성장테마1호(A)
F70100010,한투삼성그룹성장테마1호(A-e)
F70100011,한투삼성그룹성장테마2호(A)
F70100012,한투삼성그룹성장테마2호(A-e)
F70101B95,밀라노부동산
F70101B96,벨기에코어오피스2호
F70101B9A,한국투자뉴욕오피스1호
F70101BB1,한국투자서울오피스
F70102B96,룩셈부르크코어오피스(파생형)(A)
F70103B96,룩셈부르크코어오피스(파생형)(C-I)
F71201B97,키움히어로즈미국물류부동산1호
F71201B98,키움히어로즈유럽오피스부동산1호 A
F71202B98,키움히어로즈유럽오피스부동산1호 C-I
F71203B98,키움히어로즈유럽오피스부동산2호 A
F71204B98,키움히어로즈유럽오피스부동산2호 C-I
F71205B98,키움히어로즈유럽오피스부동산3호 A
F71206B98,키움히어로즈유럽오피스부동산3호 C-I
F71207B98,키움히어로즈유럽오피스부동산4호 A
F71208B98,키움히어로즈유럽오피스부동산4호 C-I
F71901B9B,KB와이즈스타부동산3A
F71901BB4,KB국민참여뉴딜
F71901BBC,KB국민참여뉴딜2A
F71902B9B,KB와이즈스타부동산3C-F
F71902BBC,KB국민참여뉴딜2C
F72500001,신한공모주하이일드[채권혼합](종A1)
F72500002,신한공모주하이일드[채권혼합](종A-e)
F72501BB4,신한국민참여정책형뉴딜혼합자산(종A1)
F72501BBC,신한국민참여정책형뉴딜혼합자산2호 C1
F72502BB4,신한국민참여정책형뉴딜혼합자산(종C1)
F72502BBC,신한국민참여정책형뉴딜혼합자산2호 A1
F72801BB4,한화국민참여정책형뉴딜 A
F72801BBC,한화국민참여정책형뉴딜2A
F72802BB4,한화국민참여정책형뉴딜 C
F72802BBC,한화국민참여정책형뉴딜2C
F73300003,다올공모주하이일드만기형증권3 A
F73300004,다올공모주하이일드만기형증권3 Ae
F73400001,코레이트하이일드공모주만기형증권1호A
F73400002,코레이트하이일드공모주만기형증권1호A-e
F73400003,코레이트하이일드공모주투게더증권A
F73400004,코레이트하이일드공모주투게더증권A-e
F73400005,코레이트하이일드공모주투게더증권A2
F73501BB4,GB국민참여정책형뉴딜A
F73501BBC,GB뉴딜기업2호A
F73502BB4,GB국민참여정책형뉴딜C
F73502BBC,GB뉴딜기업2호Ae
F73503BB4,GB국민참여정책형뉴딜I
F74100003,흥국플러스공모주하이일드증권2호 A
F74100004,흥국플러스공모주하이일드증권2호 A-e
F74100005,흥국플러스공모주하이일드증권2호 C-f
F74201773,하나대체나사부동산1호
F7420177B,하나대체미국LA부동산1호 A
F74201BAA,하나대체미국부동산1호 A
F7420277B,하나대체미국LA부동산1호 F
F74202BAA,하나대체미국부동산1호 C-I
F74401777,맵스미국11호
F74401BAA,맵스미국16호 종류A
F74601669,KCGI베트남증권투자신탁
F74701776,이지스코어부동산126호 A
F74701789,이지스204호 Class A
F74701B8A,이지스229호 Class A
F74701B97,이지스글로벌281호 Class A
F74701B9A,이지스299호A
F74702776,이지스코어부동산126호 C-i
F74702786,이지스리테일194호
F74702B8A,이지스229호 Class C-I
F75601BA2,유경공모부동산3호ClassA
F75602BA2,유경공모부동산3호ClassC-I
F75701BA7,현대유퍼스트부동산30호[파생형] A
F75702BA7,현대유퍼스트부동산30호[파생형] C-i
F75801BB4,IBK 국민참여정책형뉴딜 혼합자산 A
F75801BBC,IBK국민참여정책형뉴딜혼합자산2호A
F75802BB4,IBK 국민참여정책형뉴딜 혼합자산 C
F75802BBC,IBK국민참여정책형뉴딜혼합자산2호C
F76201BC5,이탈리아물류1호 종류A
F76400001,VIP The First 증권투자신탁 1호 A
F76400002,VIP The First 증권투자신탁 1호 A-e
F76400003,VIP The First 증권투자신탁 2호 A
F76400004,VIP The First 증권투자신탁 2호 A-e
F77200001,한국밸류K-파워1호 (A)
F77200002,한국밸류K-파워1호 (A-e)
F77200003,한국밸류K-파워2호 (A)
F77200004,한국밸류K-파워2호 (A-e)
F77200005,한국밸류AI혁신소부장1호(A)
F77200006,한국밸류AI혁신소부장1호(A-e)
F77200007,한국밸류AI혁신소부장1호(C-F)
F77200008,한국밸류AI혁신소부장2호(A)
F77200009,한국밸류AI혁신소부장2호(A-e)
F77200010,한국밸류AI혁신소부장2호(C-F)
F77200011,한국밸류기업가치포커스1호(A)
F77200012,한국밸류기업가치포커스1호(A-e)
F77200013,한국밸류기업가치포커스1호(C-F)
F77200014,한국밸류기업가치포커스2호(A)
F77200015,한국밸류기업가치포커스2호(A-e)
F77200016,한국밸류기업가치포커스2호(C-F)
F77300001,밸류시스템SAFE증권1호(A)
F77300002,밸류시스템SAFE증권1호(Ae)
F77300003,밸류시스템SAFE증권2호(A)
F77300004,밸류시스템SAFE증권2호(Ae)
000020,동화약품
000040,KR모터스
000050,경방
000070,삼양홀딩스
000075,삼양홀딩스우
000080,하이트진로
000087,하이트진로2우B
000100,유한양행
000105,유한양행우
000120,CJ대한통운
000140,하이트진로홀딩스
000145,하이트진로홀딩스우
000150,두산
000155,두산우
000157,두산2우B
000180,성창기업지주
000210,DL
000215,DL우
000220,유유제약
000225,유유제약1우
000227,유유제약2우B
000230,일동홀딩스
000240,한국앤컴퍼니
000270,기아
000300,대유플러스
000320,노루홀딩스
000325,노루홀딩스우
000370,한화손해보험
000390,삼화페인트
000400,롯데손해보험
000430,대원강업
000480,CR홀딩스
000490,대동
000500,가온전선
000520,삼일제약
000540,흥국화재
000545,흥국화재우
000590,CS홀딩스
000640,동아쏘시오홀딩스
000650,천일고속
000660,SK하이닉스
000670,영풍
000680,LS네트웍스
000700,유수홀딩스
000720,현대건설
000725,현대건설우
000760,이화산업
000810,삼성화재
000815,삼성화재우
000850,화천기공
000860,강남제비스코
000880,한화
000885,한화우
00088K,한화3우B
000890,보해양조
000910,유니온
000950,전방
000970,한국주철관
000990,DB하이텍
001020,페이퍼코리아
001040,CJ
001045,CJ우
00104K,CJ4우(전환)
001060,JW중외제약
001065,JW중외제약우
001067,JW중외제약2우B
001070,대한방직
001080,만호제강
001120,LX인터내셔널
001130,대한제분
001140,국보
001200,유진투자증권
001210,금호전기
001230,동국홀딩스
001250,GS글로벌
001260,남광토건
001270,부국증권
001275,부국증권우
001290,상상인증권
001340,백광산업
001360,삼성제약
001380,SG글로벌
001390,KG케미칼
001420,태원물산
001430,세아베스틸지주
001440,대한전선
001450,현대해상
001460,BYC
001465,BYC우
001470,삼부토건
001500,현대차증권
001510,SK증권
001515,SK증권우
001520,동양
001525,동양우
001527,동양2우B
001530,DI동일
001550,조비
001560,제일연마
001570,금양
001620,케이비아이동국실업
001630,종근당홀딩스
001680,대상
001685,대상우
001720,신영증권
001740,SK네트웍스
001750,한양증권
001755,한양증권우
001770,SHD
001780,알루코
001790,대한제당
001795,대한제당우
001800,오리온홀딩스
001820,삼화콘덴서
001940,KISCO홀딩스
002020,코오롱
002025,코오롱우
002030,아세아
002070,비비안
002100,경농
002140,고려산업
002150,도화엔지니어링
002170,삼양통상
002200,한국수출포장
002210,동성제약
002220,한일철강
002240,고려제강
002310,아세아제지
002320,한진
002350,넥센타이어
002355,넥센타이어1우B
002360,SH에너지화학
002380,KCC
002390,한독
002410,범양건영
002420,세기상사
002450,삼익악기
002460,HS화성
002600,조흥
002620,제일파마홀딩스
002630,오리엔트바이오
002690,동일제강
002700,신일전자
002710,TCC스틸
002720,국제약품
002760,보락
002780,진흥기업
002785,진흥기업우B
002787,진흥기업2우B
002790,아모레G
002795,아모레G우
00279K,아모레G3우(전환)
002810,삼영무역
002820,SUN&L
002840,미원상사
002870,신풍
002880,대유에이텍
002900,TYM
002920,유성기업
002960,한국쉘석유
002990,금호건설
002995,금호건설우
003000,부광약품
003010,혜인
003030,세아제강지주
003060,에이프로젠바이오로직스
003070,코오롱글로벌
003075,코오롱글로벌우
003080,성보화학
003090,대웅
003120,일성아이에스
003160,디아이
003200,일신방직
003220,대원제약
003230,삼양식품
003240,태광산업
003280,흥아해운
003300,한일홀딩스
003350,한국화장품제조
003460,유화증권
003465,유화증권우
003470,유안타증권
003475,유안타증권우
003480,한진중공업홀딩스
003490,대한항공
003495,대한항공우
003520,영진약품
003530,한화투자증권
003535,한화투자증권우
003540,대신증권
003545,대신증권우
003547,대신증권2우B
003550,LG
003555,LG우
003560,IHQ
003570,SNT다이내믹스
003580,HLB글로벌
003610,방림
003620,KG모빌리티
003650,미창석유
003670,포스코퓨처엠
003680,한성기업
003690,코리안리
003720,삼영
003780,진양산업
003830,대한화섬
003850,보령
003920,남양유업
003925,남양유업우
003960,사조대림
004000,롯데정밀화학
004020,현대제철
004060,SG세계물산
004080,신흥
004090,한국석유
004100,태양금속
004105,태양금속우
004140,동방
004150,한솔홀딩스
004170,신세계
004250,NPC
004255,NPC우
004270,남성
004310,현대약품
004360,세방
004365,세방우
004370,농심
004380,삼익THK
004410,서울식품
004415,서울식품우
004430,송원산업
004440,삼일씨엔에스
004450,삼화왕관
004490,세방전지
004540,깨끗한나라
004545,깨끗한나라우
004560,현대비앤지스틸
004690,삼천리
004700,조광피혁
004710,한솔테크닉스
004720,팜젠사이언스
004770,써니전자
004800,효성
004830,덕성
004835,덕성우
004840,DRB동일
004870,티웨이홀딩스
004890,동일산업
004910,조광페인트
004920,씨아이테크
004960,한신공영
004970,신라교역
004980,성신양회
004985,성신양회우
004990,롯데지주
00499K,롯데지주우
005010,휴스틸
005030,부산주공
005070,코스모신소재
005090,SGC에너지
005110,한창
005180,빙그레
005250,녹십자홀딩스
005257,녹십자홀딩스2우
005300,롯데칠성
005305,롯데칠성우
005320,온타이드
005360,모나미
005380,현대차
005385,현대차우
005387,현대차2우B
005389,현대차3우B
005390,신성통상
005420,코스모화학
005430,한국공항
005440,현대지에프홀딩스
005490,POSCO홀딩스
005500,삼진제약
005610,SPC삼립
005680,삼영전자
005690,파미셀
005720,넥센
005725,넥센우
005740,크라운해태홀딩스
005745,크라운해태홀딩스우
005750,대림B&Co
005800,신영와코루
005810,풍산홀딩스
005820,원림
005830,DB손해보험
005850,에스엘
005870,휴니드
005880,대한해운
005930,삼성전자
005935,삼성전자우
005940,NH투자증권
005945,NH투자증권우
005950,이수화학
005960,동부건설
005965,동부건설우
006040,동원산업
006060,화승인더
006090,사조오양
006110,삼아알미늄
006120,SK디스커버리
006125,SK디스커버리우
006200,한국전자홀딩스
006220,제주은행
006260,LS
006280,녹십자
006340,대원전선
006345,대원전선우
006360,GS건설
006370,대구백화점
006380,카프로
006390,한일현대시멘트
006400,삼성SDI
006405,삼성SDI우
006490,인스코비
006570,대림통상
006650,대한유화
006660,삼성공조
006740,영풍제지
006800,미래에셋증권
006805,미래에셋증권우
00680K,미래에셋증권2우B
006840,AK홀딩스
006880,신송홀딩스
006890,태경케미컬
006980,우성
007070,GS리테일
007110,일신석재
007120,미래아이앤지
007160,사조산업
007210,벽산
007280,한국특강
007310,오뚜기
007340,DN오토모티브
007460,에이프로젠
007540,샘표
007570,일양약품
007575,일양약품우
007590,동방아그로
007610,선도전기
007660,이수페타시스
007690,국도화학
007700,F&F홀딩스
007810,코리아써키트
007815,코리아써우
00781K,코리아써키트2우B
007860,서연
007980,TP
008040,사조동아원
008060,대덕
00806K,대덕1우
008110,대동전자
008250,이건산업
008260,NI스틸
008350,남선알미늄
008355,남선알미우
008420,문배철강
008490,서흥
008500,일정실업
008600,윌비스
008700,아남전자
008730,율촌화학
008770,호텔신라
008775,호텔신라우
008870,금비
008930,한미사이언스
008970,동양철관
009070,KCTC
009140,경인전자
009150,삼성전기
009155,삼성전기우
009160,SIMPAC
009180,한솔로지스틱스
009190,대양금속
009200,무림페이퍼
009240,한샘
009270,신원
009290,광동제약
009310,참엔지니어링
009320,아진전자부품
009410,태영건설
009415,태영건설우
009420,한올바이오파마
009440,KC그린홀딩스
009450,경동나비엔
009460,한창제지
009470,삼화전기
009540,HD한국조선해양
009580,무림P&P
009680,모토닉
009770,삼정펄프
009810,플레이그램
009830,한화솔루션
009835,한화솔루션우
009900,명신산업
009970,영원무역홀딩스
010040,한국내화
010060,OCI홀딩스
010100,한국무브넥스
010120,LS ELECTRIC
010130,고려아연
010140,삼성중공업
010400,우진아이엔에스
010420,한솔PNS
010580,에스엠벡셀
010600,웰바이오텍
010620,HD현대미포
010640,진양폴리
010660,화천기계
010690,화신
010770,평화홀딩스
010780,아이에스동서
010820,퍼스텍
010950,S-Oil
010955,S-Oil우
010960,삼호개발
011000,진원생명과학
011070,LG이노텍
011090,에넥스
011150,CJ씨푸드
011155,CJ씨푸드1우
011170,롯데케미칼
011200,HMM
011210,현대위아
011230,삼화전자
011280,태림포장
011300,성안머티리얼스
011330,유니켐
011390,부산산업
011420,갤럭시아에스엠
011500,한농화성
011690,와이투솔루션
011700,한신기계
011760,현대코퍼레이션
011780,금호석유
011785,금호석유우
011790,SKC
011810,STX
011930,신성이엔지
012030,DB
012160,영흥
012170,아센디오
012200,계양전기
012205,계양전기우
012280,영화금속
012320,경동인베스트
012330,현대모비스
012450,한화에어로스페이스
012510,더존비즈온
012600,청호ICT
012610,경인양행
012630,HDC
012690,모나리자
012750,에스원
012800,대창
013000,세우글로벌
013360,일성건설
013520,화승코퍼레이션
013570,디와이
013580,계룡건설
013700,까뮤이앤씨
013870,지엠비코리아
013890,지누스
014130,한익스프레스
014160,대영포장
014280,금강공업
014285,금강공업우
014440,영보화학
014530,극동유화
014580,태경비케이
014680,한솔케미칼
014710,사조씨푸드
014790,HL D&I
014820,동원시스템즈
014825,동원시스템즈우
014830,유니드
014910,성문전자
014915,성문전자우
014990,인디에프
015020,이스타코
015230,대창단조
015260,에이엔피
015360,예스코홀딩스
015590,KIB플러그에너지
015760,한국전력
015860,일진홀딩스
015890,태경산업
016090,대현
016360,삼성증권
016380,KG스틸
016450,한세예스24홀딩스
016580,환인제약
016590,신대양제지
016610,DB금융투자
016710,대성홀딩스
016740,두올
016800,퍼시스
016880,웅진
017040,광명전기
017180,명문제약
017370,우신시스템
017390,서울가스
017550,수산중공업
017670,SK텔레콤
017800,현대엘리베이
017810,풀무원
017860,DS단석
017900,광전자
017940,E1
017960,한국카본
018250,애경산업
018260,삼성에스디에스
018470,조일알미늄
018500,동원금속
018670,SK가스
018880,한온시스템
019170,신풍제약
019175,신풍제약우
019180,티에이치엔
019440,세아특수강
019490,하이트론
019680,대교
019685,대교우B
020000,한섬
020120,키다리스튜디오
020150,롯데에너지머티리얼즈
020560,아시아나항공
020760,일진디스플
021050,서원
021240,코웨이
021820,세원정공
022100,포스코DX
023000,삼원강재
023150,MH에탄올
023350,한국종합기술
023450,동남합성
023530,롯데쇼핑
023590,다우기술
023800,인지컨트롤스
023810,인팩
023960,에쓰씨엔지니어링
024070,WISCOM
024090,디씨엠
024110,기업은행
024720,콜마홀딩스
024890,대원화성
024900,덕양산업
025000,KPX케미칼
025530,SJM홀딩스
025540,한국단자
025560,미래산업
025620,제이준코스메틱
025750,한솔홈데코
025820,이구산업
025860,남해화학
025890,한국주강
026890,스틱인베스트먼트
026940,부국철강
026960,동서
027410,BGF
027740,마니커
027970,한국제지
028050,삼성E&A
028100,동아지질
028260,삼성물산
02826K,삼성물산우B
028670,팬오션
029460,케이씨
029530,신도리코
029780,삼성카드
030000,제일기획
030190,NICE평가정보
030200,KT
030210,다올투자증권
030610,교보증권
030720,동원수산
031430,신세계인터내셔날
031440,신세계푸드
031820,콤텍시스템
032350,롯데관광개발
032560,황금에스티
032640,LG유플러스
032830,삼성생명
033180,KH 필룩스
033240,자화전자
033250,체시스
033270,유나이티드제약
033530,SJG세종
033780,KT&G
033920,무학
034020,두산에너빌리티
034120,SBS
034220,LG디스플레이
034230,파라다이스
034300,신세계건설
034310,NICE
034590,인천도시가스
034730,SK
03473K,SK우
034830,한국토지신탁
035000,HS애드
035150,백산
035250,강원랜드
035420,NAVER
035510,신세계 I&C
035720,카카오
036420,콘텐트리중앙
036460,한국가스공사
036530,SNT홀딩스
036570,엔씨소프트
036580,팜스코
037270,YG PLUS
037560,LG헬로비전
037710,광주신세계
039130,하나투어
039490,키움증권
039570,HDC랩스
041650,상신브레이크
042660,한화오션
042670,HD현대인프라코어
042700,한미반도체
044380,주연테크
044450,KSS해운
044820,코스맥스비티아이
047040,대우건설
047050,포스코인터내셔널
047400,유니온머티리얼
047810,한국항공우주
049770,동원F&B
049800,우진플라임
051600,한전KPS
051630,진양화학
051900,LG생활건강
051905,LG생활건강우
051910,LG화학
051915,LG화학우
052690,한전기술
053210,스카이라이프
053690,한미글로벌
055490,테이팩스
055550,신한지주
057050,현대홈쇼핑
058430,포스코스틸리온
058650,세아홀딩스
058730,다스코
058850,KTcs
058860,KTis
060980,HL홀딩스
062040,산일전기
063160,종근당바이오
064350,현대로템
064960,SNT모티브
066570,LG전자
066575,LG전자우
066970,엘앤에프
067830,세이브존I&C
068270,셀트리온
068290,삼성출판사
069260,TKG휴켐스
069460,대호에이엘
069500,KODEX 200
069620,대웅제약
069640,한세엠케이
069660,KOSEF 200
069730,DSR제강
069960,현대백화점
070960,모나용평
071050,한국금융지주
071055,한국금융지주우
071090,하이스틸
071320,지역난방공사
071840,롯데하이마트
071950,코아스
071970,HD현대마린엔진
072130,유엔젤
072710,농심홀딩스
073240,금호타이어
074610,이엔플러스
075180,새론오토모티브
075580,세진중공업
077500,유니퀘스트
077970,STX엔진
078000,텔코웨어
078520,에이블씨엔씨
078930,GS
078935,GS우
079160,CJ CGV
079430,현대리바트
079550,LIG넥스원
079900,전진건설로봇
079980,휴비스
081000,일진다이아
081660,휠라홀딩스
082640,동양생명
082740,한화엔진
083420,그린케미칼
084010,대한제강
084670,동양고속
084680,이월드
084690,대상홀딩스
084695,대상홀딩스우
084870,TBH글로벌
085310,엔케이
085620,미래에셋생명
086280,현대글로비스
086790,하나금융지주
088260,이리츠코크렙
088350,한화생명
088790,진도
088980,맥쿼리인프라
089470,HDC현대EP
089590,제주항공
089860,롯데렌탈
090080,평화산업
090350,노루페인트
090355,노루페인트우
090370,메타랩스
090430,아모레퍼시픽
090435,아모레퍼시픽우
090460,비에이치
091090,세원이앤씨
091160,KODEX 반도체
091170,KODEX 은행
091180,KODEX 자동차
091220,TIGER 은행
091230,TIGER 반도체
091810,티웨이항공
092200,디아이씨
092220,KEC
092230,KPX홀딩스
092440,기신정기
092780,동양피스톤
092790,넥스틸
093050,LF
093230,이아이디
093240,형지엘리트
093370,후성
094280,효성ITX
094800,맵스리얼티1
095570,AJ네트웍스
095720,웅진씽크빅
096760,JW홀딩스
096770,SK이노베이션
096775,SK이노베이션우
097230,HJ중공업
097520,엠씨넥스
097950,CJ제일제당
097955,CJ제일제당 우
098560,TIGER 방송통신
099140,KODEX 차이나H
100090,SK오션플랜트
100220,비상교육
100250,진양홀딩스
100840,SNT에너지
100910,KOSEF KRX100
101140,인바이오젠
101280,KODEX 일본TOPIX100
101530,해태제과식품
102110,TIGER 200
102260,동성케미컬
102280,쌍방울
102460,이연제약
102780,KODEX 삼성그룹
102960,KODEX 기계장비
102970,KODEX 증권
103140,풍산
103590,일진전기
104520,KOSEF 블루칩
104530,KOSEF 고배당
104700,한국철강
105010,TIGER 라틴35
105190,ACE 200
105560,KB금융
105630,한세실업
105780,RISE 5대그룹주
105840,우진
107590,미원홀딩스
108320,LX세미콘
108450,ACE 삼성그룹섹터가중
108590,TREX 200
108670,LX하우시스
108675,LX하우시스우
109070,주성코퍼레이션
111110,호전실업
111380,동인기연
111770,영원무역
112610,씨에스윈드
114090,GKL
114100,RISE 국고채3년
114260,KODEX 국고채3년
114460,ACE 국고채3년
114470,KOSEF 국고채3년
114800,KODEX 인버스
114820,TIGER 국채3년
115390,락앤락
117460,KODEX 에너지화학
117580,대성에너지
117680,KODEX 철강
117690,TIGER 차이나항셍25
117700,KODEX 건설
118000,메타케어
119650,KC코트렐
120030,조선선재
120110,코오롱인더
120115,코오롱인더우
122090,PLUS 코스피50
122260,KOSEF 통안채1년
122630,KODEX 레버리지
122900,아이마켓코리아
123310,TIGER 인버스
123320,TIGER 레버리지
123690,한국화장품
123700,SJM
123890,한국자산신탁
126560,현대퓨처넷
126720,수산인더스트리
128820,대성산업
128940,한미약품
129260,인터지스
130660,한전산업
130680,TIGER 원유선물Enhanced(H)
130730,KOSEF 단기자금
131890,ACE 삼성그룹동일가중
132030,KODEX 골드선물(H)
133690,TIGER 미국나스닥100
133820,화인베스틸
134380,미원화학
134790,시디즈
136340,RISE 중기우량회사채
136490,선진
137310,에스디바이오센서
137610,TIGER 농산물선물Enhanced(H)
138040,메리츠금융지주
138230,KOSEF 미국달러선물
138490,코오롱ENP
138520,TIGER 삼성그룹펀더멘털
138530,TIGER LG그룹+펀더멘털
138540,TIGER 현대차그룹+펀더멘털
138910,KODEX 구리선물(H)
138920,KODEX 콩선물(H)
138930,BNK금융지주
139130,DGB금융지주
